# #Depth CH4
216.992600 613.158900
216.993200 614.946700
216.993700 613.910000
216.994300 614.510400
216.995000 615.409900
216.995600 614.630400
216.996100 616.706900
216.996600 615.413400
216.997200 614.938900
216.997900 616.466100
216.998500 614.396500
216.999000 616.148600
216.999600 615.642400
217.000100 614.268200
217.000700 614.507900
217.001200 615.111400
217.001900 613.867900
217.002500 614.070100
217.003000 615.743500
217.003600 614.296500
217.004100 612.579200
217.004900 612.689600
217.005400 612.589900
217.006000 611.400300
217.006500 612.722500
217.007100 610.983400
217.007600 612.000400
217.008300 611.316300
217.008900 613.316500
217.009400 612.712900
217.010000 613.769600
217.010500 611.141700
217.011100 613.104400
217.011600 613.250700
217.012400 612.214900
217.012900 612.840400
217.013500 611.684100
217.014000 610.441200
217.014500 611.797000
217.015100 609.962400
217.015600 611.535600
217.016400 611.280400
217.016900 610.566300
217.017500 609.813500
217.018000 609.460100
217.018600 609.219100
217.019100 610.184800
217.019800 610.092000
217.020400 608.982200
217.020900 610.330200
217.021500 609.867500
217.022000 611.143000
217.022600 611.894400
217.023100 611.961500
217.023900 611.376300
217.024400 613.063500
217.024900 613.456200
217.026000 612.190200
217.026600 611.847800
217.027100 612.749700
217.029000 614.240300
217.100400 616.543100
217.101000 616.403000
217.109800 616.905700
217.110300 616.406200
217.110900 617.324700
217.113300 617.003600
217.114600 615.978400
217.115100 615.688200
217.115600 617.083300
217.116700 616.505600
217.117300 616.335400
217.119700 617.797100
217.120200 617.276300
217.120800 617.711600
217.121500 614.872000
217.122100 616.542900
217.122600 615.272100
217.123200 614.527900
217.123900 616.434300
217.124400 614.994300
217.125000 617.985400
217.125600 615.706300
217.126700 616.012600
217.127200 616.303700
217.128000 615.763000
217.128500 615.520500
217.129000 614.663700
217.129600 614.442700
217.130300 615.873700
217.130900 614.509800
217.131400 615.873700
217.132000 615.570700
217.132500 613.588800
217.133100 613.642600
217.133800 613.212700
217.134400 613.738300
217.134900 614.835400
217.135500 613.940600
217.136000 615.188000
217.136600 615.358100
217.137300 614.766000
217.137900 615.762500
217.138400 614.885200
217.139000 614.492200
217.139700 614.225600
217.140200 614.011200
217.140800 612.447700
217.141300 612.801700
217.141900 613.632100
217.142500 614.190000
217.143200 612.361000
217.143800 612.917000
217.144300 613.448200
217.144800 613.931400
217.145600 611.090600
217.146100 609.542900
217.146700 609.061500
217.147200 608.454400
217.147800 609.686700
217.148400 609.611700
217.149100 610.051700
217.149600 612.242000
217.150200 611.551600
217.150700 613.821900
217.151500 614.995900
217.152000 615.579300
217.152500 617.022000
217.153100 618.516800
217.227500 621.708500
217.228000 621.448600
217.228600 620.753400
217.229200 619.064200
217.229800 618.946200
217.230500 618.898600
217.231100 621.054300
217.231700 619.467800
217.232200 620.710200
217.233000 621.432600
217.233600 620.015100
217.234700 621.909400
217.235800 621.233600
217.237700 621.741300
217.238300 619.634200
217.238900 619.475600
217.239500 621.544100
217.240200 620.800700
217.240800 621.820300
217.241300 621.354500
217.241900 621.976200
217.242500 620.816300
217.243300 620.711100
217.243800 620.294600
217.244400 618.127300
217.245000 616.188000
217.245500 616.637200
217.246300 617.360200
217.246900 618.780600
217.247400 618.634800
217.248200 619.246200
217.248800 617.516500
217.249400 618.073000
217.249900 616.996900
217.250500 618.234600
217.251100 618.022100
217.251800 617.403100
217.252400 615.552400
217.253000 613.934400
217.253700 614.403500
217.254300 612.953500
217.254900 615.023400
217.255500 615.320100
217.256100 616.428100
217.256600 616.558000
217.257400 617.366600
217.257900 616.889900
217.258500 617.135700
217.259100 617.179800
217.259800 617.807900
217.260400 617.743900
217.261000 617.590300
217.261600 617.567400
217.262100 617.702900
217.262900 616.975700
217.263500 616.775600
217.264000 615.967600
217.264600 615.496900
217.265300 615.279900
217.265900 615.373800
217.266500 617.032500
217.267100 617.196600
217.267600 617.352200
217.268200 616.113700
217.269000 615.157600
217.269500 616.469700
217.270100 617.321200
217.270700 615.877000
217.271400 615.562700
217.272000 616.646800
217.272600 617.104200
217.273200 615.408900
217.273700 616.048700
217.274500 616.076600
217.275100 616.956700
217.275600 614.808700
217.276200 616.294800
217.276800 613.610200
217.277500 615.974300
217.278100 614.872600
217.278600 615.338100
217.279300 617.175600
217.279800 616.720400
217.280600 617.374300
217.281100 618.630500
217.281700 616.562200
217.282300 617.630000
217.283000 617.832400
217.283600 616.870000
217.284200 618.663200
217.284700 617.856200
217.285300 619.087500
217.286100 618.395500
217.286700 617.650900
217.287200 617.769100
217.287800 616.731800
217.288400 616.188300
217.289100 617.743500
217.289700 616.516600
217.290300 616.888500
217.290800 614.610900
217.291400 614.967700
217.292000 614.221600
217.292700 613.581000
217.293300 612.851400
217.293900 610.100600
217.294600 611.251600
217.295200 611.301200
217.295800 611.261300
217.296300 613.754700
217.296900 614.343200
217.297500 614.185500
217.298100 614.589300
217.298800 612.727300
217.299400 613.921400
217.300000 616.566800
217.300500 618.509400
217.317300 618.774000
217.317900 618.991500
217.319000 617.302900
217.342800 620.916700
217.343600 619.822200
217.344200 619.775000
217.344700 618.569900
217.345300 617.330000
217.346100 616.769500
217.346600 615.032400
217.347200 616.102900
217.347800 616.476900
217.348400 615.395400
217.348900 616.226900
217.349700 617.446700
217.350300 616.235800
217.350800 616.268400
217.351400 616.849900
217.352000 617.011600
217.352700 619.324800
217.353300 620.901000
217.353900 620.315000
217.354500 620.391700
217.355000 618.021100
217.355800 615.773000
217.356300 615.974100
217.356900 618.342800
217.357500 616.082300
217.358200 617.495900
217.358800 616.971700
217.359400 617.129000
217.360000 616.784700
217.360600 618.361400
217.361100 615.431600
217.361700 618.764300
217.362500 617.313700
217.363000 617.204500
217.363600 619.112100
217.364200 618.886200
217.364900 617.025000
217.365500 617.239600
217.366100 617.474000
217.366600 617.594300
217.367200 617.026300
217.368000 616.922300
217.368500 616.411600
217.369100 616.672900
217.369700 619.160600
217.370200 618.486300
217.370800 615.814800
217.371400 615.026300
217.372200 616.479500
217.372700 616.444300
217.373300 615.160500
217.374100 613.650200
217.374600 613.911700
217.375200 613.475500
217.375800 614.534000
217.376300 614.161400
217.377100 614.008600
217.377600 612.695300
217.378300 611.857900
217.378800 613.122800
217.379400 613.100000
217.380000 616.298300
217.380700 615.196500
217.381300 614.487200
217.381900 617.368800
217.382400 616.709100
217.383200 614.582000
217.383800 614.118200
217.384400 611.980500
217.384900 613.553200
217.385500 612.832200
217.386100 613.669100
217.386800 612.240700
217.387400 612.608500
217.388000 613.041200
217.388500 614.397900
217.389300 614.218300
217.421100 617.450000
217.421700 616.613100
217.422200 616.990900
217.422800 614.982300
217.423400 616.271700
217.423900 617.145700
217.424700 616.423600
217.425300 615.735500
217.425800 615.745900
217.426600 616.072900
217.427200 615.515600
217.427800 613.386700
217.428300 614.354600
217.428900 614.938800
217.429500 615.604500
217.430200 616.652300
217.430800 618.605900
217.431400 617.669500
217.431900 616.265900
217.432500 619.390400
217.433100 619.536900
217.433700 618.776500
217.434400 617.484300
217.435000 617.414600
217.435600 618.872100
217.436100 615.706000
217.436900 615.155500
217.437500 616.058100
217.438000 613.998600
217.438600 614.724600
217.439200 614.496200
217.439800 613.910900
217.440500 611.783100
217.441100 612.630100
217.441600 613.958300
217.442200 614.068800
217.442800 613.837300
217.443500 612.589300
217.444100 611.493900
217.444700 610.547500
217.445300 614.011000
217.445800 613.219100
217.446600 612.674000
217.447200 611.591600
217.447700 611.878500
217.448300 612.894400
217.448900 610.621500
217.449400 611.491100
217.450200 611.295800
217.450800 610.102900
217.451500 610.613500
217.452100 609.476000
217.452700 609.037600
217.453300 609.752500
217.453800 611.142000
217.454400 612.444400
217.455000 610.469500
217.455700 612.490200
217.489200 619.892500
217.489700 620.068400
217.490300 618.306600
217.490900 620.581900
217.491700 619.681100
217.492200 620.848300
217.492800 618.411800
217.493300 616.615600
217.494000 615.683400
217.494500 614.308100
217.495300 615.500700
217.495800 616.736700
217.496400 616.608900
217.497000 616.357200
217.497500 615.723000
217.498100 620.407300
217.498700 617.024300
217.499400 618.926600
217.500000 618.933000
217.500600 619.508800
217.501200 618.598400
217.501700 618.970400
217.502300 618.654700
217.502900 618.310000
217.503400 620.417700
217.504200 621.149000
217.504800 618.381700
217.505300 618.440600
217.505900 617.262400
217.506500 617.661800
217.507100 616.210400
217.507600 616.900200
217.508200 617.877300
217.508800 616.467400
217.509500 614.854200
217.510100 614.677800
217.510600 615.020100
217.511200 616.217000
217.511800 614.671800
217.512400 615.976900
217.513000 614.289800
217.513500 616.088400
217.514100 615.503800
217.514800 618.028200
217.515400 621.666200
217.517100 620.511300
217.517700 619.132100
217.518300 616.446500
217.518800 616.353800
217.519400 615.148500
217.520100 615.750600
217.520700 614.500800
217.521300 614.244600
217.521800 613.709800
217.522400 613.684600
217.523000 613.454700
217.523600 610.998400
217.524100 609.750200
217.524700 611.075900
217.525500 612.594900
217.526000 611.922500
217.526600 611.020400
217.527200 609.503900
217.527700 608.821800
217.528300 609.505600
217.528900 612.101400
217.529400 612.030600
217.530000 613.820700
217.530800 614.323900
217.531300 614.296300
217.531900 616.520100
217.532500 617.520600
217.533000 613.525800
217.533600 616.427700
217.534200 616.633800
217.534900 615.774900
217.535500 617.875500
217.536100 615.961300
217.536700 616.396500
217.537200 615.983600
217.537800 614.813100
217.538400 617.194400
217.538900 616.490500
217.539700 616.377700
217.540200 614.527800
217.540800 612.855500
217.541400 614.535600
217.542000 613.652800
217.542500 613.538800
217.543100 611.928000
217.543700 614.263500
217.544200 611.866400
217.545000 615.369600
217.545600 615.118400
217.546100 616.428900
217.546700 615.198100
217.547300 615.780300
217.547800 615.248500
217.548400 615.798700
217.549000 616.495600
217.549600 617.174300
217.550300 618.826900
217.550900 618.175100
217.551400 618.773600
217.552000 618.061500
217.552600 618.670600
217.553100 619.178400
217.553700 617.886400
217.554300 615.368000
217.554900 619.216300
217.555600 616.221400
217.556200 616.931600
217.556800 617.419100
217.557300 614.784100
217.557900 615.004200
217.558400 614.361000
217.559000 614.919900
217.559600 614.814600
217.560400 615.386700
217.560900 616.061500
217.561500 616.014500
217.562100 615.272600
217.562600 613.813800
217.563200 617.125400
217.563800 614.354200
217.564300 613.964300
217.565100 613.849400
217.565700 614.078800
217.566300 615.091200
217.566800 614.478800
217.567400 612.773000
217.568000 616.377200
217.568500 616.305800
217.569100 616.194000
217.569700 614.807100
217.570400 614.782800
217.571000 615.217600
217.571600 616.793600
217.572200 615.852800
217.572700 616.306600
217.573300 616.665100
217.573900 616.149300
217.574400 617.465800
217.575200 616.793500
217.575800 620.418500
217.576300 616.798800
217.576900 617.129600
217.577500 615.601200
217.578000 614.392700
217.578600 615.019000
217.579200 613.012000
217.579700 613.991600
217.580500 613.613400
217.581100 612.383300
217.581600 613.214500
217.582200 613.127700
217.582800 610.236000
217.583300 612.041200
217.583900 611.615400
217.584500 609.181000
217.585200 612.138100
217.585800 612.615900
217.586400 612.481100
217.586900 613.091100
217.588100 614.801500
217.674000 620.393600
217.674500 619.016100
217.675600 618.672500
217.676300 613.591000
217.676800 617.393400
217.677400 617.138900
217.678100 617.167100
217.678700 619.609800
217.679200 617.236600
217.679800 618.910400
217.680300 618.016400
217.680800 616.716500
217.681400 619.158600
217.681900 620.578800
217.682600 621.242800
217.683200 620.397600
217.683700 621.893600
217.684300 620.333800
217.685300 620.757500
217.685900 621.138300
217.686100 621.942700
217.688100 621.687300
217.688800 621.600000
217.689500 620.663300
217.690200 619.479700
217.690900 616.039600
217.691700 617.787400
217.692400 617.823200
217.693100 616.557300
217.693800 616.553000
217.694700 620.157400
217.695400 618.871100
217.695900 620.855300
217.696500 617.284800
217.697200 617.806600
217.697800 618.173700
217.698300 618.419600
217.698800 620.572100
217.699400 621.108400
217.700100 620.534700
217.700700 619.119300
217.701400 619.434200
217.701900 619.369100
217.702500 617.181000
217.703000 617.529000
217.703500 618.348400
217.704400 615.814300
217.705000 618.993700
217.705500 619.612700
217.706100 619.625400
217.706600 618.370500
217.707200 620.771400
217.707800 619.962600
217.708400 618.404000
217.708800 619.541500
217.709300 616.961000
217.709800 617.385300
217.714400 616.565000
217.714900 616.535100
217.715300 618.282200
217.716100 616.097700
217.716800 615.996700
217.717300 618.403300
217.718000 618.105600
217.718600 616.898900
217.719300 616.343100
217.719800 617.228700
217.720300 617.009000
217.720900 616.669100
217.721400 617.577800
217.722100 616.810100
217.722600 617.814300
217.723100 613.747400
217.723900 615.428500
217.724400 615.556200
217.725000 613.211100
217.725500 615.816000
217.726200 612.870500
217.726700 613.951700
217.727300 612.917300
217.727900 612.218700
217.728600 614.902800
217.729100 613.037700
217.729600 613.010300
217.730200 613.964700
217.730700 615.538200
217.760700 610.373400
217.761400 609.611500
217.761900 610.398200
217.762500 611.400800
217.763100 608.990100
217.763800 609.206000
217.764300 608.006900
217.764900 608.370700
217.765600 607.615400
217.766100 608.429700
217.766700 607.983500
217.767400 607.352700
217.767900 606.635600
217.768600 608.654900
217.769200 609.613400
217.769800 612.156200
217.770300 612.071500
217.771000 613.315300
217.771600 613.929400
217.772100 617.009100
217.772800 618.015200
217.773300 616.477300
217.773900 616.160300
217.774600 614.604500
217.775200 615.143100
217.775800 616.678500
217.776300 616.334300
217.777000 617.878500
217.777500 617.834000
217.778300 617.415400
217.778800 620.277900
217.779300 617.333700
217.779900 618.329900
217.780600 617.501700
217.782500 617.465100
217.783000 614.569200
217.783700 615.955400
217.828000 618.187400
217.828500 618.059100
217.829000 615.103800
217.829800 615.040600
217.830300 614.505900
217.830900 614.017500
217.831600 613.853400
217.832200 610.544900
217.832900 613.498700
217.833400 613.707800
217.833900 613.361000
217.834700 613.911000
217.835200 612.764800
217.835800 613.442500
217.836500 612.690200
217.837100 615.002000
217.837600 614.545100
217.838200 614.895200
217.838900 614.710100
217.865800 615.322800
217.867100 616.007700
217.867700 615.694900
217.868400 614.499200
217.868900 613.358600
217.869500 615.285200
217.870000 615.944500
217.870700 614.823000
217.871300 617.205300
217.872000 617.180400
217.872500 618.952200
217.873000 617.159800
217.873600 618.773300
217.874200 620.698500
217.874900 618.368600
217.875400 620.091900
217.876000 621.114000
217.876700 620.240100
217.877200 620.939100
217.877900 622.040000
217.878500 620.461800
217.879000 619.678300
217.879600 620.824100
217.880100 622.395000
217.880900 624.935300
217.881400 619.876400
217.882100 623.503200
217.882600 618.867500
217.883200 620.804300
217.883900 618.544700
217.884400 620.004200
217.885000 619.430700
217.885600 618.396700
217.886300 620.053000
217.886800 617.561900
217.887500 616.863800
217.888100 619.998500
217.888600 619.239000
217.889900 618.149800
217.890400 616.484500
217.891100 616.235100
217.891700 616.395700
217.892300 618.650400
217.892800 616.586800
217.893500 619.689700
217.894100 618.393900
217.894600 617.004500
217.895300 617.619800
217.895900 617.332500
217.896400 617.791400
217.897100 620.289300
217.897700 619.405900
217.898300 619.604300
217.900000 621.048300
217.900600 619.842800
217.901300 617.429600
217.901800 617.140300
217.902600 619.413500
217.903100 616.111200
217.903700 616.799300
217.904200 615.151100
217.904800 612.739600
217.905500 612.739800
217.906000 613.352500
217.906600 612.185200
217.907300 613.553200
217.907800 613.268200
217.908400 613.771600
217.908900 613.451100
217.909500 613.883700
217.910200 614.056300
217.910700 615.317300
217.911400 616.655200
217.912000 613.605600
217.914300 611.125800
217.914800 607.932300
217.915400 609.506000
217.916100 611.008500
217.916700 611.939100
217.918500 614.540800
217.919000 614.841600
217.919700 617.322200
217.920300 615.533700
217.920800 618.141200
217.921400 617.663500
217.922100 619.126000
217.922700 619.192400
217.923200 618.064100
217.923900 615.873300
217.924400 617.264000
217.925000 617.024400
217.925700 617.845400
217.926200 618.589900
217.926800 618.038000
217.932200 617.910500
217.932700 616.987200
217.937600 612.706600
217.938200 613.548900
217.938700 611.142900
217.939400 615.164800
217.940000 612.685500
217.940600 610.873000
217.941100 612.942100
217.941800 614.194000
217.942400 614.254600
217.942900 612.504100
217.943600 613.951100
217.944200 613.000500
217.944700 617.634500
217.945400 615.898100
217.946000 615.338800
217.946600 616.711900
217.947100 617.592200
217.947800 617.443400
217.948300 617.622500
217.948900 620.140900
217.949400 618.857900
217.950100 619.731100
217.950700 620.775700
217.951400 618.044300
217.952000 618.097600
217.952500 620.576400
217.953100 618.659100
217.953600 620.648300
217.954300 618.622200
217.954900 616.605600
217.955400 617.652200
217.956100 617.792900
217.956700 618.413300
217.957200 620.178100
217.957800 618.112800
217.958300 618.190200
217.959000 617.304600
217.959600 616.192000
217.960100 617.725000
217.960800 617.367500
217.961400 617.270900
217.962100 616.025100
217.962600 614.121700
217.963100 615.615600
217.963700 612.899000
217.964500 614.054700
217.965000 614.452400
217.965600 614.182100
217.966200 612.099400
217.966800 612.730200
217.967300 616.052700
217.968100 614.279000
217.968600 615.295100
217.969100 617.348700
217.969700 616.002000
217.970400 616.784000
217.971000 614.656100
217.971500 613.621300
217.972200 617.019600
217.972800 617.508200
217.973300 618.799500
217.975100 617.935100
217.975700 618.332200
217.976200 615.898200
217.976900 616.247900
217.977500 616.625900
217.978000 616.471900
217.978600 616.290800
217.979300 618.428900
217.979800 621.140800
217.980500 620.084600
217.981100 619.177800
217.981700 616.299100
217.982200 616.974800
217.982900 616.076600
217.983400 616.626400
217.984000 615.149900
217.984500 617.165200
217.985200 617.393100
217.985800 617.330900
217.986300 614.405700
217.987000 613.129500
217.987600 610.934200
217.988100 612.629100
217.988700 611.966600
217.989400 613.112500
217.989900 611.277600
217.990500 615.902100
217.991200 611.624800
217.993000 610.430400
217.993600 609.221800
217.994100 608.761300
217.994700 608.249500
217.995400 609.601900
217.995900 609.085100
217.996500 612.353400
218.024400 625.039300
218.025600 624.217900
218.026200 624.661800
218.026700 625.229300
218.027400 625.216600
218.027900 625.254100
218.028500 624.741000
218.053300 624.469600
218.055600 625.118800
218.056400 624.151200
218.056900 624.227500
218.057400 624.491000
218.058000 623.202000
218.058700 622.175800
218.059200 623.876700
218.059800 621.786600
218.060300 621.695000
218.061100 621.404100
218.061600 623.240700
218.062100 625.828400
218.062700 624.601800
218.063200 627.721700
218.063900 627.037600
218.064500 625.243600
218.065000 623.125700
218.065600 620.208800
218.066100 622.175300
218.066800 622.125700
218.067400 621.550200
218.067900 619.263900
218.068400 618.043500
218.069200 617.959200
218.069700 616.783800
218.070200 612.250400
218.070900 613.225400
218.071500 614.023300
218.072100 611.276600
218.072600 614.488000
218.073100 612.825000
218.073700 615.735700
218.074400 616.371600
218.075000 616.238300
218.075500 617.900000
218.076000 618.652100
218.076700 618.030400
218.077300 617.941100
218.077900 621.570200
218.078400 621.578100
218.078900 622.985600
218.079600 624.246500
218.080200 623.183100
218.080700 624.109500
218.081200 626.388800
218.082000 624.588600
218.082500 625.855600
218.083100 623.766100
218.083600 625.328800
218.084100 624.110700
218.084700 620.758100
218.085400 622.732600
218.085900 623.509600
218.086500 621.966000
218.087200 623.501000
218.087700 624.363700
218.088300 621.504600
218.088800 622.567100
218.089400 621.960100
218.090100 619.566900
218.090600 620.339500
218.091200 619.618300
218.091700 619.119100
218.092400 616.953900
218.093000 617.775300
218.093500 618.948600
218.094000 621.983300
218.094600 616.162600
218.095200 614.203800
218.095900 614.785000
218.096400 611.457000
218.096900 612.830200
218.097500 613.995900
218.098200 614.446500
218.098700 614.034500
218.099300 616.946500
218.099800 617.838000
218.100500 615.273500
218.101100 615.777300
218.101600 613.651200
218.102200 614.530000
218.102700 615.125400
218.103500 616.936400
218.104000 615.384700
218.104500 615.370200
218.105100 614.140800
218.105800 614.484000
218.106300 615.303400
218.106900 617.067000
218.107400 617.087500
218.108000 617.817900
218.108500 616.665800
218.109200 619.635100
218.109800 619.126800
218.110300 620.690600
218.111000 620.134700
218.111600 621.442700
218.112100 619.616200
218.112700 622.840500
218.113200 619.465100
218.113800 619.522300
218.114500 619.660900
218.115000 619.557000
218.115500 620.105400
218.116100 620.744200
218.116800 619.172200
218.117300 620.413000
218.117900 621.034000
218.118400 619.846400
218.119000 617.175200
218.119500 616.534600
218.120200 615.092500
218.120800 613.429000
218.121300 613.602900
218.121900 613.940100
218.122400 613.700400
218.123100 617.168600
218.123600 612.692000
218.124200 612.484500
218.124800 611.508400
218.125300 610.645700
218.126000 612.164200
218.126500 613.350000
218.127100 613.688800
218.127600 615.847300
218.128300 614.307300
218.128900 618.044400
218.129400 618.631900
218.130100 618.815900
218.130700 618.529600
218.131200 620.434600
218.131800 621.794200
218.132300 622.415300
218.132900 621.493900
218.133600 620.138300
218.134100 619.681000
218.134700 617.700000
218.135200 618.047600
218.135800 620.279900
218.136500 619.638900
218.141700 614.746100
218.142300 614.428600
218.142800 615.704900
218.143300 613.687100
218.143900 614.779300
218.144600 615.462000
218.145100 612.290200
218.145700 609.494000
218.146400 610.416900
218.146900 610.720400
218.147500 612.332200
218.148000 613.812700
218.148600 613.192300
218.149300 614.073500
218.151100 615.989200
218.180700 618.926900
218.181300 619.625700
218.181800 619.949300
218.182500 617.350200
218.183100 619.565200
218.183600 620.713700
218.184200 621.088900
218.198600 626.673400
218.199100 622.825500
218.199900 625.963700
218.200400 623.634000
218.201000 623.449500
218.201500 626.329900
218.203100 626.111800
218.209600 625.190800
218.229100 624.409100
218.229800 624.041900
218.230400 621.015800
218.230900 622.629900
218.231500 625.261900
218.232000 624.691600
218.232500 623.423900
218.233100 623.893000
218.233800 626.331600
218.234300 625.257600
218.234900 623.750400
218.235600 624.571000
218.236200 624.735200
218.236700 624.521200
218.237300 626.283000
218.237800 626.214300
218.238300 623.464600
218.239000 625.351400
218.239600 624.396500
218.240100 621.090000
218.240800 620.727800
218.241400 622.955400
218.242000 621.668600
218.242500 622.260800
218.243000 621.955800
218.243600 620.003400
218.244300 619.264500
218.244800 617.255400
218.245400 613.922200
218.245900 617.834900
218.246600 615.976200
218.247200 617.864900
218.247700 618.798800
218.248300 623.566100
218.248800 619.411900
218.249500 618.201400
218.250100 619.852100
218.250600 623.555200
218.251100 624.619200
218.251700 622.289700
218.252400 624.393700
218.252900 626.903800
218.253500 626.446600
218.254000 624.407000
218.254600 627.176600
218.255300 627.835500
218.255800 625.453500
218.256400 622.661500
218.256900 622.717500
218.257400 623.441700
218.258200 622.367900
218.258700 620.771300
218.259300 620.676400
218.259800 617.029200
218.260500 621.058200
218.261100 620.673700
218.261600 620.862100
218.262100 621.939900
218.262700 619.577800
218.263200 616.722100
218.263900 614.764300
218.264500 617.414000
218.265000 618.182300
218.265600 618.675100
218.266100 619.414200
218.266800 620.900800
218.267400 621.479400
218.267900 621.370900
218.268400 621.644500
218.269000 623.512000
218.269700 623.198900
218.270200 624.434400
218.270800 624.581300
218.271300 623.691700
218.271900 624.308300
218.272400 624.015600
218.273000 624.210300
218.273700 623.658500
218.274200 622.870300
218.274700 623.408100
218.275300 623.465800
218.276000 625.819100
218.276500 625.001400
218.277100 622.132500
218.277600 626.336000
218.278200 622.114400
218.278900 622.184300
218.279400 622.141700
218.280000 621.820800
218.280500 621.949000
218.281100 619.124000
218.281800 621.446900
218.282300 620.769100
218.282900 624.368000
218.283400 620.630100
218.284000 620.734400
218.284700 621.301200
218.285200 619.261300
218.285700 620.041400
218.286300 619.221600
218.286800 616.880500
218.287500 618.784800
218.288100 619.853400
218.288600 619.181000
218.289200 619.422300
218.289900 619.910400
218.290400 617.795900
218.291000 618.564900
218.291500 616.503700
218.292100 617.591500
218.292600 617.137200
218.293300 618.932000
218.293800 620.441600
218.294400 619.342900
218.294900 616.400100
218.295700 615.656800
218.296200 617.288100
218.296700 620.651900
218.297300 620.630500
218.297800 619.392600
218.298500 622.265900
218.299100 620.813700
218.299600 622.058900
218.300200 622.597300
218.300700 621.023000
218.301400 622.134700
218.302000 621.038400
218.302500 622.183000
218.303000 622.860500
218.303600 621.372400
218.304300 621.508600
218.304800 621.602100
218.305400 622.822400
218.305900 621.071000
218.306500 618.850000
218.307200 617.338400
218.307800 616.963000
218.308300 616.934200
218.308800 614.879200
218.309500 613.890000
218.310100 611.847700
218.310600 611.422100
218.311100 612.508300
218.311700 610.611000
218.312300 609.129300
218.313000 610.356000
218.313500 612.584300
218.314000 614.381400
218.314600 615.044800
218.315300 618.048900
218.315800 618.975700
218.316400 618.454000
218.316900 617.903300
218.317500 619.936700
218.318000 620.093600
218.318700 621.026500
218.319300 622.865500
218.319800 621.900500
218.320500 621.435700
218.321100 621.521100
218.321600 623.323300
218.322100 622.345800
218.322700 620.145400
218.323300 620.924300
218.324000 618.844800
218.324500 620.708100
218.325100 616.182700
218.325600 619.147100
218.326100 618.560500
218.326800 616.183000
218.327400 615.854000
218.327900 613.955300
218.328500 614.498400
218.329000 619.222200
218.329700 616.788200
218.330300 618.466000
218.330800 619.636100
218.331300 620.779500
218.331900 620.573500
218.332600 622.112900
218.333100 619.430600
218.333700 618.880800
218.334400 616.298000
218.335000 617.034900
218.335500 615.169000
218.336100 615.455800
218.336600 615.948800
218.337300 614.977800
